Info,Info,Info,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Mark Lindsay,NBA,15,173.8,45.5,38.5,231.3,-3.6,1.1,-0.4,5.5,0.4,90.1,19.7,20.5,116.9,0.6,83.7,25.9,18.1,114.3,-0.2,6.5,-6.2,2.4,2.6,-0.347,6.7,-6.3,2.5,0.7
Tre Maddox,NBA,14,181.2,46.6,39.7,227.1,3.8,2.2,0.8,1.3,0.429,89.2,22.9,19.9,111.6,0.571,92,23.6,19.9,115.4,-0.143,-2.8,-0.7,0,-3.8,-0.29,-2.6,-0.8,0.1,-5.7
Ed Malloy,NBA,15,175.3,43.7,37.9,215.5,-2.1,-0.7,-1,-10.3,0.667,86,24.5,18.2,110.7,0.333,89.3,19.1,19.7,104.7,0.333,-3.3,5.4,-1.5,6,0.186,-3.1,5.3,-1.4,4.1
Biniam Maru,NBA,2,190.5,41,31.5,246.5,13.1,-3.4,-7.4,20.7,0.5,97,19.5,16,125,0.5,93.5,21.5,15.5,121.5,0,3.5,-2,0.5,3.5,-0.147,3.7,-2.1,0.6,1.6
Suyash Mehta,NBA,10,176.3,42.2,34.3,225.2,-1.1,-2.2,-4.6,-0.6,0.7,88.8,22.6,16.4,118.1,0.3,87.5,19.6,17.9,107.1,0.4,1.3,3,-1.5,11,0.253,1.5,2.9,-1.4,9.1
Tyler Mirkovich,NBA,2,161.5,72,54.5,221.5,-15.9,27.6,15.6,-4.3,0.5,80.5,38,24.5,112.5,0.5,81,34,30,109,0,-0.5,4,-5.5,3.5,-0.147,-0.3,3.9,-5.4,1.6
Sha'Rae Mitchell,NBA,10,178.9,49.8,41.5,235.6,1.5,5.4,2.6,9.8,0.6,90.5,22.5,22.6,118.9,0.4,88.4,27.3,18.9,116.7,0.2,2.1,-4.8,3.7,2.2,0.053,2.3,-4.9,3.8,0.3
Rodney Mott,NBA,10,179.2,43.7,37.2,226.6,1.8,-0.7,-1.7,0.8,0.6,92.5,19.9,19.3,115.9,0.4,86.7,23.8,17.9,110.7,0.2,5.8,-3.9,1.4,5.2,0.053,6,-4,1.5,3.3
Ashley Moyer-Gleich,NBA,9,178.8,38.4,37.2,223.4,1.4,-6,-1.7,-2.4,0.556,86.7,20.3,18.6,110.1,0.444,92.1,18.1,18.7,113.3,0.111,-5.4,2.2,-0.1,-3.2,-0.036,-5.2,2.1,0,-5.1
Matt Myers,NBA,10,181.4,48.3,40.1,230,4,3.9,1.2,4.2,0.9,89.4,25.5,18.8,119.4,0.1,92,22.8,21.3,110.6,0.8,-2.6,2.7,-2.5,8.8,0.653,-2.4,2.6,-2.4,6.9
