Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
30-Nov-24,PHI,111,DET,96,L,1.5,L,215.5,U
29-Nov-24,DET,130,IND,106,W,-4.5,W,229.5,O
27-Nov-24,DET,111,MEM,131,L,-8,L,225,O
25-Nov-24,TOR,100,DET,102,W,-4,L,220.5,U
23-Nov-24,DET,100,ORL,111,L,-9.5,L,206.5,O
21-Nov-24,DET,121,CHR,123,L,2.5,L,222,O
18-Nov-24,CHI,122,DET,112,L,-4,L,234.5,U
17-Nov-24,DET,124,WAS,104,W,5,W,231.5,U
15-Nov-24,DET,99,TOR,95,W,2.5,W,225,U
13-Nov-24,DET,120,MIL,127,L,-7,P,213.5,O
12-Nov-24,MIA,121,DET,123,W,1.5,W,214.5,O
10-Nov-24,HOU,101,DET,99,L,4,W,218.5,U
6-Nov-24,DET,107,CHR,108,L,1.5,L,223,U
4-Nov-24,LAL,103,DET,115,W,7,W,226,U
3-Nov-24,DET,106,BKN,92,W,-3,W,219,U
1-Nov-24,NY,128,DET,98,L,6.5,L,218.5,O
30-Nov-24,GS,105,PHO,113,L,-1,L,234.5,U
27-Nov-24,OKC,105,GS,101,L,4.5,W,224.5,U
25-Nov-24,BKN,128,GS,120,L,-13.5,L,224,O
23-Nov-24,GS,94,SAN,104,L,3.5,L,229.5,U
22-Nov-24,GS,112,NOP,108,W,10.5,L,221.5,U
20-Nov-24,ATL,97,GS,120,W,-7.5,W,239.5,U
18-Nov-24,GS,99,LAC,102,L,5.5,L,226,U
15-Nov-24,MEM,118,GS,123,W,-7,L,236.5,O
12-Nov-24,DAL,117,GS,120,W,-2.5,W,235,O
10-Nov-24,GS,127,OKC,116,W,-6.5,W,227.5,O
6-Nov-24,GS,118,BOS,112,W,-6.5,W,228.5,O
4-Nov-24,GS,125,WAS,112,W,11,W,233.5,O
2-Nov-24,GS,127,HOU,121,W,-5,W,215.5,O
30-Oct-24,NOP,89,GS,104,W,-3.5,W,219.5,U
29-Oct-24,NOP,106,GS,124,W,1.5,W,217.5,O
27-Oct-24,LAC,112,GS,104,L,-9,L,221.5,U
25-Oct-24,GS,127,UTA,86,W,6.5,W,234.5,U
23-Oct-24,GS,140,POR,104,W,7.5,W,221.5,O
31-Oct-24,HOU,108,DAL,102,W,-6.5,W,226,U
28-Oct-24,HOU,106,SAN,101,W,2.5,W,220,U
26-Oct-24,HOU,106,SAN,109,L,1.5,L,222.5,U
25-Oct-24,MEM,108,HOU,128,W,-3.5,W,225.5,O
23-Oct-24,CHR,110,HOU,105,L,-8.5,L,230,U
27-Nov-24,HOU,122,PHI,115,W,5.5,W,219.5,O
26-Nov-24,HOU,117,MIN,111,W,-2.5,W,220,O
23-Nov-24,POR,104,HOU,98,L,-12.5,L,226,U
22-Nov-24,POR,88,HOU,116,W,-11.5,W,226.5,U
20-Nov-24,IND,113,HOU,130,W,-6,W,232,O
18-Nov-24,HOU,100,MIL,101,L,-3.5,W,225,U
17-Nov-24,HOU,143,CHI,107,W,4.5,W,234,O
15-Nov-24,LAC,104,HOU,125,W,-4.5,W,214.5,O
13-Nov-24,LAC,103,HOU,111,W,-4.5,W,214,P
11-Nov-24,WAS,92,HOU,107,W,-12,W,231,U
10-Nov-24,HOU,101,DET,99,W,4,L,218.5,U
6-Nov-24,SAN,100,HOU,127,W,-6.5,W,215.5,O
4-Nov-24,NY,97,HOU,109,W,2,W,217.5,U
2-Nov-24,GS,127,HOU,121,L,-5,L,215.5,O
29-Nov-24,DET,130,IND,106,L,-4.5,L,229.5,O
27-Nov-24,POR,114,IND,121,W,-9.5,L,231.5,O
25-Nov-24,NOP,110,IND,114,W,-7.5,L,227,U
24-Nov-24,WAS,103,IND,115,W,-12,P,240.5,U
22-Nov-24,IND,117,MIL,129,L,-5.5,L,235.5,O
20-Nov-24,IND,113,HOU,130,L,-6,L,232,O
18-Nov-24,IND,119,TOR,130,L,3.5,L,236.5,O
17-Nov-24,MIA,110,IND,119,W,-3.5,W,228,O
15-Nov-24,MIA,124,IND,111,L,-4.5,L,228.5,O
13-Nov-24,IND,90,ORL,94,L,-1,L,224.5,U
10-Nov-24,NY,121,IND,132,W,3,W,229.5,O
6-Nov-24,ORL,111,IND,118,W,-5.5,W,226.5,O
4-Nov-24,IND,134,DAL,127,W,-4.5,W,236.5,O
1-Nov-24,IND,118,NOP,125,L,4.5,L,232,O
30-Oct-24,BOS,132,IND,135,W,6.5,W,235.5,O
28-Oct-24,IND,115,ORL,119,L,-5.5,W,225.5,O
27-Oct-24,PHI,118,IND,114,L,-8.5,L,228.5,O
25-Oct-24,IND,98,NY,123,L,-4.5,L,229,U
23-Oct-24,IND,115,DET,109,W,5.5,W,235.5,U
31-Oct-24,PHO,125,LAC,119,L,4.5,L,220,O
30-Oct-24,POR,106,LAC,105,L,-8,L,219,U
27-Oct-24,LAC,112,GS,104,W,-9,W,221.5,U
26-Oct-24,LAC,109,DEN,104,W,-7.5,W,218,U
23-Oct-24,PHO,116,LAC,113,L,5,W,224.5,O
29-Nov-24,LAC,92,MIN,93,L,-6.5,W,212.5,U
27-Nov-24,LAC,121,WAS,96,W,9,W,225.5,U
25-Nov-24,LAC,94,BOS,126,L,-10.5,L,218.5,O
24-Nov-24,LAC,125,PHI,99,W,1.5,W,210.5,O
22-Nov-24,SAC,88,LAC,104,W,4,W,217.5,U
20-Nov-24,ORL,93,LAC,104,W,3.5,W,205,U
18-Nov-24,GS,99,LAC,102,W,5.5,W,226,U
17-Nov-24,UTA,105,LAC,116,W,-9.5,W,221.5,U
15-Nov-24,LAC,104,HOU,125,L,-4.5,L,214.5,O
13-Nov-24,LAC,103,HOU,111,L,-4.5,L,214,P
11-Nov-24,LAC,128,OKC,134,L,-6.5,W,218.5,O
9-Nov-24,TOR,103,LAC,105,W,-6,L,226.5,U
6-Nov-24,PHI,98,LAC,110,W,-1.5,W,215,U
4-Nov-24,SAN,104,LAC,113,W,-4,W,215,O
2-Nov-24,OKC,105,LAC,92,L,5.5,L,220.5,U
29-Nov-24,OKC,101,LAL,93,L,3,L,229.5,U
27-Nov-24,LAL,119,SAN,101,W,2,W,228,U
26-Nov-24,LAL,100,PHO,127,L,-2.5,L,234.5,U
23-Nov-24,DEN,127,LAL,102,L,-4,L,236,U
21-Nov-24,ORL,119,LAL,118,L,-5.5,L,216.5,O
19-Nov-24,UTA,118,LAL,124,W,-10.5,L,234,O
16-Nov-24,LAL,104,NOP,99,W,8,L,220.5,U
15-Nov-24,LAL,120,SAN,115,W,2.5,W,228,O
13-Nov-24,MEM,123,LAL,128,W,-7.5,L,233,O
10-Nov-24,TOR,103,LAL,123,W,-10.5,W,235.5,U
6-Nov-24,LAL,114,MEM,131,L,-4,L,233,O
4-Nov-24,LAL,103,DET,115,L,7,L,226,U
1-Nov-24,LAL,131,TOR,125,W,9,L,232.5,O
30-Oct-24,LAL,110,CLE,134,L,-4,L,226.5,O
28-Oct-24,LAL,105,PHO,109,L,-4.5,W,229.5,U
26-Oct-24,SAC,127,LAL,131,W,-1,W,230.5,O
25-Oct-24,PHO,116,LAL,123,W,-1.5,W,227.5,O
22-Oct-24,MIN,103,LAL,110,W,1,W,223.5,U
31-Oct-24,MIL,99,MEM,122,W,6.5,W,230.5,U
30-Oct-24,BKN,119,MEM,106,L,-11.5,L,226,U
28-Oct-24,CHI,126,MEM,123,L,-5,L,231.5,O
26-Oct-24,ORL,111,MEM,124,W,-1,W,221.5,O
25-Oct-24,MEM,108,HOU,128,L,-3.5,L,225.5,O
23-Oct-24,MEM,126,UTA,124,W,2.5,L,229.5,O
29-Nov-24,NOP,109,MEM,120,W,-11.5,L,232,U
27-Nov-24,DET,111,MEM,131,W,-8,W,225,O
25-Nov-24,POR,98,MEM,123,W,-10.5,W,233.5,U
23-Nov-24,MEM,142,CHI,131,W,4.5,W,244,O
20-Nov-24,PHI,111,MEM,117,W,4.5,W,226.5,O
19-Nov-24,DEN,122,MEM,110,L,-6,L,223.5,O
17-Nov-24,DEN,90,MEM,105,W,-6,W,228.5,U
15-Nov-24,MEM,118,GS,123,L,-7,W,236.5,O
13-Nov-24,MEM,123,LAL,128,L,-7.5,W,233,O
10-Nov-24,MEM,134,POR,89,W,1,W,226.5,U
6-Nov-24,LAL,114,MEM,131,W,-4,W,233,O
4-Nov-24,MEM,104,BKN,106,L,4.5,L,223.5,U
2-Nov-24,MEM,124,PHI,107,W,-1,W,223,O
29-Nov-24,TOR,111,MIA,121,W,-8,W,219.5,O
27-Nov-24,MIA,98,CHR,94,W,4.5,L,218.5,U
26-Nov-24,MIL,106,MIA,103,L,-6,L,222.5,U
24-Nov-24,DAL,118,MIA,123,W,-3,W,221.5,O
18-Nov-24,PHI,89,MIA,106,W,-2.5,W,212,U
17-Nov-24,MIA,110,IND,119,L,-3.5,L,228,O
15-Nov-24,MIA,124,IND,111,W,-4.5,W,228.5,O
12-Nov-24,MIA,121,DET,123,L,1.5,L,214.5,O
10-Nov-24,MIA,95,MIN,94,W,-7.5,W,219,U
6-Nov-24,MIA,112,PHO,115,L,-5,W,222.5,O
4-Nov-24,SAC,111,MIA,110,L,-1,L,224.5,U
2-Nov-24,MIA,118,WAS,98,W,9.5,W,224.5,U
30-Oct-24,NY,116,MIA,107,L,1.5,L,214.5,O
28-Oct-24,DET,98,MIA,106,W,-8.5,L,219.5,U
26-Oct-24,MIA,114,CHR,106,W,6,W,222.5,U
23-Oct-24,ORL,116,MIA,97,L,-2,L,208,O
31-Oct-24,MIL,99,MEM,122,L,6.5,L,230.5,U
28-Oct-24,MIL,108,BOS,119,L,-9,L,231.5,U
27-Oct-24,MIL,102,BKN,115,L,8.5,L,227.5,U
25-Oct-24,CHI,133,MIL,122,L,-9.5,L,234.5,O
23-Oct-24,MIL,124,PHI,109,W,4,W,222.5,O
30-Nov-24,WAS,114,MIL,124,W,-14.5,L,229.5,O
26-Nov-24,MIL,106,MIA,103,W,-6,W,222.5,U
23-Nov-24,CHR,119,MIL,125,W,-7.5,L,224,O
22-Nov-24,IND,117,MIL,129,W,-5.5,W,235.5,O
20-Nov-24,CHI,106,MIL,122,W,-8.5,W,239.5,U
18-Nov-24,HOU,100,MIL,101,W,-3.5,L,225,U
16-Nov-24,MIL,114,CHR,115,L,3.5,L,220,O
13-Nov-24,DET,120,MIL,127,W,-7,P,213.5,O
12-Nov-24,TOR,85,MIL,99,W,-9,W,225.5,U
10-Nov-24,BOS,113,MIL,107,L,5,L,230,U
7-Nov-24,UTA,100,MIL,123,W,-10,W,232,U
4-Nov-24,MIL,114,CLE,116,L,-8.5,W,228.5,O
2-Nov-24,CLE,114,MIL,113,L,-2,L,230.5,U
29-Nov-24,LAC,92,MIN,93,W,-6.5,L,212.5,U
27-Nov-24,SAC,115,MIN,104,L,-3.5,L,219.5,U
26-Nov-24,HOU,117,MIN,111,L,-2.5,L,220,O
24-Nov-24,MIN,105,BOS,107,L,-8.5,W,222.5,U
21-Nov-24,MIN,105,TOR,110,L,7,L,225.5,U
17-Nov-24,PHO,117,MIN,120,W,-7.5,L,218.5,O
15-Nov-24,MIN,130,SAC,126,W,1.5,W,222,O
13-Nov-24,MIN,98,POR,106,L,10,L,220.5,U
12-Nov-24,MIN,108,POR,122,L,9.5,L,221.5,O
10-Nov-24,MIA,95,MIN,94,L,-7.5,L,219,U
7-Nov-24,MIN,135,CHI,119,W,9.5,W,226.5,O
4-Nov-24,CHR,93,MIN,114,W,-10.5,W,225.5,U
2-Nov-24,MIN,103,SAN,113,L,3.5,L,214.5,O
1-Nov-24,DEN,116,MIN,119,W,-3.5,L,219,O
29-Oct-24,DAL,120,MIN,114,L,-4.5,L,220.5,O
26-Oct-24,TOR,101,MIN,112,W,-14.5,L,219,U
24-Oct-24,MIN,117,SAC,115,W,1,W,222,O
22-Oct-24,MIN,103,LAL,110,L,1,L,223.5,U
30-Oct-24,NOP,89,GS,104,L,-3.5,L,219.5,U
29-Oct-24,NOP,106,GS,124,L,1.5,L,217.5,O
27-Oct-24,NOP,103,POR,125,L,6.5,L,221,O
