Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU,GameID
3-Nov-24,ORL,85,DAL,108,W,-6.5,W,220.0,U,3-Nov-24_DAL_ORL
27-Nov-24,DEN,122,UTA,103,W,10.5,W,228.5,U,27-Nov-24_DEN_UTA
25-Nov-24,NY,145,DEN,118,L,-2.0,L,233.5,O,25-Nov-24_DEN_NY
23-Nov-24,DEN,127,LAL,102,W,-4.0,W,236.0,U,23-Nov-24_DEN_LAL
19-Nov-24,DEN,122,MEM,110,W,-6.0,W,223.5,O,19-Nov-24_DEN_MEM
17-Nov-24,DEN,90,MEM,105,L,-6.0,L,228.5,U,17-Nov-24_DEN_MEM
15-Nov-24,DEN,94,NOP,101,L,2.0,L,217.5,U,15-Nov-24_DEN_NOP
6-Nov-24,OKC,122,DEN,124,W,7.0,W,224.5,O,6-Nov-24_DEN_OKC
4-Nov-24,TOR,119,DEN,121,W,-11.0,L,231.5,O,4-Nov-24_DEN_TOR
2-Nov-24,UTA,103,DEN,129,W,-11.0,W,220.5,O,2-Nov-24_DEN_UTA
1-Nov-24,DEN,116,MIN,119,L,-3.5,W,219.0,O,1-Nov-24_DEN_MIN
28-Oct-24,DEN,127,TOR,125,W,8.5,L,223.5,O,28-Oct-24_DEN_TOR
26-Oct-24,LAC,109,DEN,104,L,-7.5,L,218.0,U,26-Oct-24_DEN_LAC
24-Oct-24,OKC,102,DEN,87,L,-2.0,L,228.5,U,24-Oct-24_DEN_OKC
30-Oct-24,DET,105,PHI,95,W,-4.0,W,219.5,U,30-Oct-24_DET_PHI
28-Oct-24,DET,98,MIA,106,L,-8.5,W,219.5,U,28-Oct-24_DET_MIA
23-Oct-24,IND,115,DET,109,L,5.5,L,235.5,U,23-Oct-24_DET_IND
30-Nov-24,PHI,111,DET,96,L,1.5,L,215.5,U,30-Nov-24_DET_PHI
29-Nov-24,DET,130,IND,106,W,-4.5,W,229.5,O,29-Nov-24_DET_IND
27-Nov-24,DET,111,MEM,131,L,-8.0,L,225.0,O,27-Nov-24_DET_MEM
25-Nov-24,TOR,100,DET,102,W,-4.0,L,220.5,U,25-Nov-24_DET_TOR
23-Nov-24,DET,100,ORL,111,L,-9.5,L,206.5,O,23-Nov-24_DET_ORL
17-Nov-24,DET,124,WAS,104,W,5.0,W,231.5,U,17-Nov-24_DET_WAS
15-Nov-24,DET,99,TOR,95,W,2.5,W,225.0,U,15-Nov-24_DET_TOR
13-Nov-24,DET,120,MIL,127,L,-7.0,P,213.5,O,13-Nov-24_DET_MIL
12-Nov-24,MIA,121,DET,123,W,1.5,W,214.5,O,12-Nov-24_DET_MIA
10-Nov-24,HOU,101,DET,99,L,4.0,W,218.5,U,10-Nov-24_DET_HOU
4-Nov-24,LAL,103,DET,115,W,7.0,W,226.0,U,4-Nov-24_DET_LAL
1-Nov-24,NY,128,DET,98,L,6.5,L,218.5,O,1-Nov-24_DET_NY
30-Nov-24,GS,105,PHO,113,L,-1.0,L,234.5,U,30-Nov-24_GS_PHO
27-Nov-24,OKC,105,GS,101,L,4.5,W,224.5,U,27-Nov-24_GS_OKC
23-Nov-24,GS,94,SAN,104,L,3.5,L,229.5,U,23-Nov-24_GS_SAN
22-Nov-24,GS,112,NOP,108,W,10.5,L,221.5,U,22-Nov-24_GS_NOP
18-Nov-24,GS,99,LAC,102,L,5.5,L,226.0,U,18-Nov-24_GS_LAC
15-Nov-24,MEM,118,GS,123,W,-7.0,L,236.5,O,15-Nov-24_GS_MEM
10-Nov-24,GS,127,OKC,116,W,-6.5,W,227.5,O,10-Nov-24_GS_OKC
4-Nov-24,GS,125,WAS,112,W,11.0,W,233.5,O,4-Nov-24_GS_WAS
2-Nov-24,GS,127,HOU,121,W,-5.0,W,215.5,O,2-Nov-24_GS_HOU
30-Oct-24,NOP,89,GS,104,W,-3.5,W,219.5,U,30-Oct-24_GS_NOP
29-Oct-24,NOP,106,GS,124,W,1.5,W,217.5,O,29-Oct-24_GS_NOP
27-Oct-24,LAC,112,GS,104,L,-9.0,L,221.5,U,27-Oct-24_GS_LAC
25-Oct-24,GS,127,UTA,86,W,6.5,W,234.5,U,25-Oct-24_GS_UTA
23-Oct-24,GS,140,POR,104,W,7.5,W,221.5,O,23-Oct-24_GS_POR
28-Oct-24,HOU,106,SAN,101,W,2.5,W,220.0,U,28-Oct-24_HOU_SAN
26-Oct-24,HOU,106,SAN,109,L,1.5,L,222.5,U,26-Oct-24_HOU_SAN
25-Oct-24,MEM,108,HOU,128,W,-3.5,W,225.5,O,25-Oct-24_HOU_MEM
27-Nov-24,HOU,122,PHI,115,W,5.5,W,219.5,O,27-Nov-24_HOU_PHI
26-Nov-24,HOU,117,MIN,111,W,-2.5,W,220.0,O,26-Nov-24_HOU_MIN
23-Nov-24,POR,104,HOU,98,L,-12.5,L,226.0,U,23-Nov-24_HOU_POR
22-Nov-24,POR,88,HOU,116,W,-11.5,W,226.5,U,22-Nov-24_HOU_POR
20-Nov-24,IND,113,HOU,130,W,-6.0,W,232.0,O,20-Nov-24_HOU_IND
18-Nov-24,HOU,100,MIL,101,L,-3.5,W,225.0,U,18-Nov-24_HOU_MIL
15-Nov-24,LAC,104,HOU,125,W,-4.5,W,214.5,O,15-Nov-24_HOU_LAC
13-Nov-24,LAC,103,HOU,111,W,-4.5,W,214.0,P,13-Nov-24_HOU_LAC
11-Nov-24,WAS,92,HOU,107,W,-12.0,W,231.0,U,11-Nov-24_HOU_WAS
6-Nov-24,SAN,100,HOU,127,W,-6.5,W,215.5,O,6-Nov-24_HOU_SAN
4-Nov-24,NY,97,HOU,109,W,2.0,W,217.5,U,4-Nov-24_HOU_NY
27-Nov-24,POR,114,IND,121,W,-9.5,L,231.5,O,27-Nov-24_IND_POR
25-Nov-24,NOP,110,IND,114,W,-7.5,L,227.0,U,25-Nov-24_IND_NOP
24-Nov-24,WAS,103,IND,115,W,-12.0,P,240.5,U,24-Nov-24_IND_WAS
22-Nov-24,IND,117,MIL,129,L,-5.5,L,235.5,O,22-Nov-24_IND_MIL
18-Nov-24,IND,119,TOR,130,L,3.5,L,236.5,O,18-Nov-24_IND_TOR
17-Nov-24,MIA,110,IND,119,W,-3.5,W,228.0,O,17-Nov-24_IND_MIA
15-Nov-24,MIA,124,IND,111,L,-4.5,L,228.5,O,15-Nov-24_IND_MIA
13-Nov-24,IND,90,ORL,94,L,-1.0,L,224.5,U,13-Nov-24_IND_ORL
